,Nombre,Tipo,Provincia,Poblacion,Distancia,Dirección,Nubosidad,lon,lat
236,Villar de Olalla,Municipio,Provincia de Cuenca,1270.0,124.25,207.94,-,-2.1972,40.0136
237,Peñalver,Municipio,provincia de Guadalajara,144.0,125.07,248.45,30.76,-2.8881,40.5828
238,Miedes de Atienza,Municipio,provincia de Guadalajara,59.0,125.24,284.06,-,-2.9636,41.2672
239,Hiendelaencina,Municipio,provincia de Guadalajara,115.0,125.5,274.63,-,-3.0022,41.0847
240,Valdearenas,Municipio,provincia de Guadalajara,76.0,126.29,260.72,-,-2.9908,40.8111
241,Buendía,Municipio,Provincia de Cuenca,400.0,126.68,236.41,29.38,-2.7573,40.3672
242,Prádena de Atienza,Municipio,provincia de Guadalajara,49.0,126.77,279.1,32.44,-3.0053,41.1736
243,Villarejo de la Peñuela,Municipio,Provincia de Cuenca,20.0,126.88,216.95,-,-2.4098,40.0879
244,San Andrés del Congosto,Municipio,provincia de Guadalajara,76.0,127.23,270.37,32.56,-3.0256,41.0008
245,Trijueque,Municipio,provincia de Guadalajara,1201.0,127.3,259.1,31.3,-2.9944,40.7778
246,Gascueña de Bornova,Municipio,provincia de Guadalajara,28.0,127.43,277.52,-,-3.0183,41.1431
247,Fuentelencina,Municipio,provincia de Guadalajara,325.0,127.44,245.3,30.76,-2.8806,40.5172
248,Villares de Jadraque,Municipio,provincia de Guadalajara,45.0,127.51,275.49,-,-3.0244,41.1028
249,Mina La Unión (abandonada),Minas,,,127.72,278.64,-,-3.0181,41.1656
250,Hijes,Municipio,provincia de Guadalajara,19.0,127.73,283.05,-,-2.9983,41.2525
251,Retortillo de Soria,Municipio,provincia de Soria,149.0,127.82,286.05,-,-2.9808,41.3111
252,Ujados,Municipio,provincia de Guadalajara,28.0,127.95,282.14,32.44,-3.0057,41.2351
253,Caspueñas,Municipio,provincia de Guadalajara,81.0,128.27,254.84,-,-2.9786,40.6931
254,Valdeavellano,Municipio,provincia de Guadalajara,114.0,128.28,253.44,-,-2.9681,40.6661
255,Valfermoso de Tajuña,Municipio,provincia de Guadalajara,60.0,128.71,251.15,-,-2.9536,40.6211
256,"Valdecolmenas, Los",Municipio,Provincia de Cuenca,72.0,128.75,220.54,-,-2.4972,40.1194
257,Zarzuela de Jadraque,Municipio,provincia de Guadalajara,44.0,128.79,273.78,-,-3.0425,41.0694
258,Valdeconcha,Municipio,provincia de Guadalajara,40.0,130.22,242.54,-,-2.8767,40.4561
259,Valdegrudas,Municipio,provincia de Guadalajara,56.0,130.46,256.22,31.3,-3.0133,40.7147
260,Atanzón,Municipio,provincia de Guadalajara,100.0,130.55,253.83,-,-2.9967,40.6675
261,Copernal,Municipio,provincia de Guadalajara,28.0,130.76,263.89,-,-3.0558,40.8681
262,Hita,Municipio,provincia de Guadalajara,294.0,130.91,261.76,-,-3.0494,40.8247
263,Torija,Municipio,provincia de Guadalajara,1448.0,131.18,257.73,31.3,-3.0314,40.7433
264,Espinosa de Henares,Municipio,provincia de Guadalajara,628.0,131.55,265.76,-,-3.0706,40.9056
265,Albendiego,Municipio,provincia de Guadalajara,49.0,131.57,281.44,32.44,-3.0517,41.2272
